OBJECTID,x,y,Sheltered_Coastline,Geomorphology_Hazard,Elevation_Hazard,Sea_Level_Rise_Hazard,Wave_Hazard,storm_surge_hazard,Erosion_Rate_Hazard,Forest_Present,Marsh_Present,Dune_Present,Oyster_Reef_Present,Underwater_Grass_Present,Hazard_with_Habitats,Hazard_without_Habitats,Hazard_Reduction_by_Habitats,Community_Flood_Risk_Max,Community_Flood_Risk_Nearest,Shoreline_Priority_Area,County,EI_wHAB,EI_woHAB,hab_role,NearRiskD,Latitude,Longitude
2350,378298.774493,4342697.23155,No,Very High,Moderate,Low,Moderate,Low,Moderate,Yes,Yes,No,No,No,Moderate,High,High,Very High,Very High,Tier 1,Baltimore,2.58951998,3.09168005,0.50216401,476.0234375,39.22457861,-76.40950923
2351,392798.774493,4342697.23155,No,Moderate,Low,Low,High,Very Low,Low,No,No,No,No,No,Moderate,Moderate,None,Very High,Moderate,n/a,Kent,2.41564989,2.41564989,0,7.44368505,39.22564259,-76.23861342
2352,411048.774493,4342697.23155,Yes,Very High,Low,Low,Low,Low,Low,Yes,Yes,No,No,No,Moderate,Moderate,Moderate,Very High,Low,n/a,Kent,2.17646003,2.59853005,0.42206401,213.60925293,39.22932228,-76.0305573
2353,411548.774493,4342697.23155,Yes,Very High,Low,Low,Very Low,Low,Low,Yes,Yes,No,No,No,Low,Moderate,Moderate,Very High,Very High,n/a,Kent,1.97126997,2.35354996,0.38227299,287.5927124,39.22949651,-76.02439338
2354,411798.774493,4342697.23155,Yes,Very High,Low,Low,Low,Very Low,Low,No,Yes,No,No,No,Moderate,Moderate,Low,Very High,Low,n/a,Kent,2.13770008,2.35354996,0.215845,396.20083618,39.22958666,-76.02190159
2355,363798.774493,4342447.23155,Yes,Very Low,Low,Moderate,Low,Very Low,Very Low,No,No,No,No,No,Low,Low,None,n/a,n/a,n/a,Baltimore City,1.79481995,1.79481995,0,3280.41308594,39.22058862,-76.5786774
2356,370548.774493,4342447.23155,Yes,Low,Moderate,Low,Moderate,Low,Low,No,No,No,No,No,Moderate,Moderate,None,Very High,Low,n/a,Baltimore,2.55971003,2.55971003,0,1296.4588623,39.22309328,-76.49833312
2357,373798.774493,4342447.23155,Yes,High,Moderate,Low,Low,Very Low,Very Low,Yes,No,No,No,No,Low,Moderate,Low,Very High,Very High,Tier 2,Baltimore,1.8908,2.18791008,0.29711699,302.06036377,39.22205187,-76.463349
2358,374048.774493,4342447.23155,Yes,Very Low,Moderate,Low,Low,Very Low,Low,Yes,No,No,No,No,Low,Low,Low,Very High,Very High,n/a,Baltimore,1.71254003,1.98164999,0.269106,26.02292061,39.22359864,-76.45908304
2359,375548.774493,4342447.23155,Yes,Low,Moderate,Low,Low,Very Low,Low,Yes,Yes,No,No,No,Low,Moderate,Moderate,Very High,Low,Tier 2,Baltimore,1.83254004,2.18791008,0.355371,18.59668541,39.2224088,-76.4416726
2360,377798.774493,4342447.23155,No,Very High,Moderate,Low,Moderate,Very High,High,Yes,Yes,No,No,No,High,High,High,Very High,High,Tier 1,Baltimore,3.07550001,3.67191005,0.596407,945.10101318,39.22179393,-76.4148568
2361,378048.774493,4342447.23155,No,Very High,Moderate,Low,Moderate,Very High,Moderate,Yes,Yes,No,No,No,Moderate,High,High,Very High,High,Tier 1,Baltimore,2.95166993,3.52406001,0.572393,766.41271973,39.22284592,-76.41283672
2362,392798.774493,4342447.23155,No,Low,Low,Low,High,Very Low,Low,No,No,No,No,No,Moderate,Moderate,None,Very High,Very High,n/a,Kent,2.27970004,2.27970004,0,9.94904995,39.22385764,-76.23976795
2363,410548.774493,4342447.23155,Yes,Very Low,Low,Low,Low,Low,Very Low,Yes,Yes,No,No,No,Low,Low,Low,Very High,Low,n/a,Kent,1.56637001,1.87012005,0.30375299,90.91791534,39.22577985,-76.03601645
2364,410798.774493,4342447.23155,Yes,Low,Low,Low,Low,Low,Very Low,Yes,Yes,No,No,No,Low,Moderate,Moderate,Very High,Low,n/a,Kent,1.72941005,2.06478,0.33537099,116.51185608,39.22599522,-76.03328729
2365,411048.774493,4342447.23155,Yes,High,Low,Low,Low,Low,Low,Yes,Yes,No,No,No,Moderate,Moderate,Moderate,Very High,Low,n/a,Kent,2.10818005,2.51699996,0.408822,322.70950317,39.22758738,-76.03134489
2366,411298.774493,4342447.23155,Yes,Low,Low,Low,Very Low,Low,Low,Yes,Yes,No,No,No,Low,Moderate,Moderate,Very High,Moderate,n/a,Queen Anne's,1.72941005,2.06478,0.33537099,2.48905754,39.22483462,-76.0263078
2367,411548.774493,4342447.23155,Yes,Low,Low,Low,Low,Low,Low,Yes,Yes,No,No,No,Low,Moderate,Moderate,Very High,Very High,n/a,Queen Anne's,1.90943003,2.27970004,0.37028,0,39.22472781,-76.02568982
2368,411798.774493,4342447.23155,Yes,Very Low,Low,Low,Low,Very Low,Low,Yes,Yes,No,No,No,Low,Low,Low,Very High,Very High,n/a,Queen Anne's,1.56637001,1.87012005,0.30375299,219.48168945,39.2265446,-76.01867979
2369,363548.774493,4342197.23155,Yes,Very Low,Low,Moderate,Low,Very Low,Very Low,No,Yes,No,No,No,Low,Low,Low,n/a,n/a,n/a,Baltimore City,1.63022006,1.79481995,0.16460399,3342.97338867,39.21840323,-76.5797361
2370,364298.774493,4342197.23155,Yes,Very Low,Low,Moderate,Moderate,Very Low,Very Low,No,No,No,No,No,Low,Low,None,n/a,n/a,n/a,Baltimore City,1.90186,1.90186,0,3663.91967773,39.21837632,-76.57198516
2371,364798.774493,4342197.23155,Yes,Very Low,Low,Moderate,Low,Very Low,Very Low,Yes,Yes,No,No,No,Low,Low,Low,n/a,n/a,n/a,Baltimore City,1.50329995,1.79481995,0.29152301,3439.70043945,39.21602616,-76.56896897
2372,365298.774493,4342197.23155,Yes,Low,Low,Moderate,Low,Very Low,Very High,Yes,No,No,No,No,Moderate,Moderate,Moderate,n/a,n/a,n/a,Baltimore City,2.15523005,2.49390006,0.33866999,3548.62939453,39.21529125,-76.55992127
2373,365548.774493,4342197.23155,Yes,Low,Low,Moderate,Moderate,Very Low,Very Low,Yes,Yes,No,No,No,Low,Moderate,Moderate,n/a,n/a,n/a,Baltimore City,1.75875998,2.0998199,0.34106201,3861.83105469,39.21667115,-76.55481902
2374,365798.774493,4342197.23155,Yes,Low,Low,Moderate,Moderate,Very Low,Very Low,Yes,Yes,No,No,No,Low,Moderate,Moderate,n/a,n/a,n/a,Baltimore City,1.75875998,2.0998199,0.34106201,3936.77441406,39.2170984,-76.55396452
2375,366048.774493,4342197.23155,Yes,Low,Low,Moderate,Moderate,Very Low,Very Low,No,Yes,No,No,No,Low,Moderate,Low,n/a,n/a,n/a,Baltimore City,1.90724003,2.0998199,0.19257499,3889.20898438,39.21742499,-76.55123852
2376,370548.774493,4342197.23155,Yes,Very Low,Moderate,Low,Low,Very Low,Very Low,No,No,No,No,No,Low,Low,None,Very High,Low,n/a,Baltimore,1.79481995,1.79481995,0,1834.50793457,39.21846787,-76.49640072
2377,373798.774493,4342197.23155,Yes,High,Moderate,Low,Moderate,Low,Moderate,Yes,No,No,No,No,Moderate,Moderate,Moderate,Very High,Low,Tier 2,Baltimore,2.58801007,2.99467993,0.40667599,344.63293457,39.22021042,-76.46112421
2378,374048.774493,4342197.23155,Yes,Very Low,Moderate,Low,Low,Very Low,Low,Yes,No,No,No,No,Low,Low,Low,Very High,Low,n/a,Baltimore,1.71254003,1.98164999,0.269106,46.7321167,39.2198888,-76.45761583
2379,375298.774493,4342197.23155,Yes,Low,Moderate,Low,Low,Very Low,Low,No,No,No,No,No,Moderate,Moderate,None,Very High,Moderate,n/a,Baltimore,2.18791008,2.18791008,0,15.4116497,39.21901513,-76.44411891
2380,375798.774493,4342197.23155,Yes,Low,Moderate,Low,Very Low,Very Low,Low,Yes,Yes,No,No,No,Low,Low,Moderate,Very High,Low,Tier 2,Baltimore,1.65978003,1.98164999,0.32186699,0,39.2200991,-76.43943714
2381,377548.774493,4342197.23155,No,Very High,Moderate,Low,Moderate,Very High,Moderate,Yes,Yes,No,No,No,Moderate,High,High,Very High,High,Tier 1,Baltimore,2.95166993,3.52406001,0.572393,1233.60852051,39.21991121,-76.41733742
2382,392548.774493,4342197.23155,No,Very Low,Low,Low,High,Very Low,Low,No,No,No,No,No,Moderate,Moderate,None,Very High,Moderate,n/a,Kent,2.06478,2.06478,0,15.58761978,39.22114387,-76.24152313
2383,410298.774493,4342197.23155,Yes,Very Low,Low,Low,Low,Very Low,Very Low,Yes,No,No,No,No,Low,Low,Low,Very High,Low,n/a,Kent,1.46379995,1.69380999,0.230019,20.94126701,39.22428993,-76.03888749
2384,410798.774493,4342197.23155,Yes,Low,Low,Low,Low,Low,Very Low,Yes,Yes,No,No,No,Low,Moderate,Moderate,Very High,Low,n/a,Kent,1.72941005,2.06478,0.33537099,82.6162796,39.22594954,-76.03367931
2385,363048.774493,4341947.23155,Yes,Low,Very Low,Moderate,Low,Very Low,Very Low,No,Yes,No,No,No,Low,Low,Low,n/a,n/a,n/a,Baltimore City,1.63022006,1.79481995,0.16460399,3205.04833984,39.21502806,-76.58583591
2386,363298.774493,4341947.23155,Yes,Low,Very Low,Moderate,Low,Very Low,Very Low,No,Yes,No,No,No,Low,Low,Low,n/a,n/a,n/a,Baltimore City,1.63022006,1.79481995,0.16460399,3287.81152344,39.21577673,-76.58345822
2387,364048.774493,4341947.23155,Yes,Very Low,Low,Moderate,Low,Very Low,Low,No,No,No,No,No,Low,Low,None,n/a,n/a,n/a,Baltimore City,1.98164999,1.98164999,0,3403.68334961,39.21601684,-76.57220272
2388,364548.774493,4341947.23155,Yes,Very Low,Low,Moderate,Low,Very Low,Very Low,Yes,Yes,No,No,No,Low,Low,Low,n/a,n/a,n/a,Baltimore City,1.50329995,1.79481995,0.29152301,3449.80419922,39.21613392,-76.56912802
2389,365048.774493,4341947.23155,Yes,Low,Low,Moderate,Low,Very Low,Very Low,Yes,Yes,No,No,No,Low,Low,Moderate,n/a,n/a,n/a,Baltimore City,1.65978003,1.98164999,0.32186699,3438.53417969,39.21527116,-76.5640811
2390,366298.774493,4341947.23155,Yes,Low,Low,Moderate,Moderate,Very Low,Very Low,No,Yes,No,No,No,Low,Moderate,Low,n/a,n/a,n/a,Baltimore City,1.90724003,2.0998199,0.19257499,3838.09790039,39.21645049,-76.54935449
2391,370298.774493,4341947.23155,Yes,Low,Moderate,Low,Moderate,Very Low,Very Low,No,No,No,No,No,Moderate,Moderate,None,n/a,n/a,n/a,Baltimore,2.0998199,2.0998199,0,2228.07861328,39.21384827,-76.50149716
2392,370548.774493,4341947.23155,Yes,Very Low,Moderate,Low,Moderate,Very Low,Very Low,No,No,No,No,No,Low,Low,None,Low,Low,n/a,Baltimore,1.90186,1.90186,0,1987.0715332,39.21680085,-76.49711789
2393,373798.774493,4341947.23155,Yes,Moderate,Moderate,Low,Moderate,Low,Low,Yes,No,No,No,No,Moderate,Moderate,Moderate,Very High,Low,Tier 2,Baltimore,2.34401989,2.71234989,0.36833501,530.02392578,39.21739697,-76.46221324
2394,374298.774493,4341947.23155,Yes,Very Low,Moderate,Low,Moderate,Very Low,Moderate,No,No,No,No,No,Moderate,Moderate,None,Very High,Low,n/a,Baltimore,2.22503996,2.22503996,0,173.35404968,39.21852488,-76.45603624
2395,374548.774493,4341947.23155,Yes,Very Low,Moderate,Low,Moderate,Very Low,Low,No,No,No,No,No,Moderate,Moderate,None,Very High,Low,n/a,Baltimore,2.0998199,2.0998199,0,146.93473816,39.21839942,-76.45334788
2396,374798.774493,4341947.23155,Yes,Very Low,Moderate,Low,Low,Very Low,Very Low,Yes,No,No,No,No,Low,Low,Low,Very High,Low,n/a,Baltimore,1.55109,1.79481995,0.243736,17.29557228,39.21865098,-76.45030457
2397,375048.774493,4341947.23155,Yes,Low,Moderate,Low,Low,Very Low,Low,Yes,No,No,No,No,Low,Moderate,Low,Very High,Low,Tier 2,Baltimore,1.8908,2.18791008,0.29711699,0,39.21876159,-76.4474783
2398,375298.774493,4341947.23155,Yes,Low,Moderate,Low,Low,Very Low,Low,No,No,No,No,No,Moderate,Moderate,None,Very High,Moderate,n/a,Baltimore,2.18791008,2.18791008,0,25.82959366,39.21888749,-76.44464289
2399,375548.774493,4341947.23155,Yes,Low,Moderate,Low,Very Low,Very Low,Low,No,No,No,No,No,Low,Low,None,Very High,Low,n/a,Baltimore,1.98164999,1.98164999,0,12.70690536,39.21713655,-76.44165217
2400,377548.774493,4341947.23155,No,Very High,Moderate,Low,Moderate,Very Low,Moderate,Yes,Yes,No,No,No,Moderate,Moderate,High,Very High,Low,Tier 1,Baltimore,2.34539008,2.80021,0.454822,1195.95214844,39.21823335,-76.41857681
2401,392548.774493,4341947.23155,No,Low,Low,Low,High,Very Low,Low,No,No,No,No,No,Moderate,Moderate,None,Very High,Very High,n/a,Kent,2.27970004,2.27970004,0,27.95757294,39.21935889,-76.24267751
2402,410048.774493,4341947.23155,Yes,Very Low,Low,Low,Low,Very Low,Low,Yes,Yes,No,No,No,Low,Low,Low,Very High,Very High,n/a,Kent,1.56637001,1.87012005,0.30375299,0,39.22211837,-76.04118383
2403,410798.774493,4341947.23155,Yes,Very Low,Low,Low,Very Low,Very Low,Low,Yes,No,No,No,No,Low,Low,Low,Very High,Moderate,n/a,Queen Anne's,1.46379995,1.69380999,0.230019,0,39.2208136,-76.03209939
2404,363548.774493,4341697.23155,Yes,Low,Very Low,Moderate,Low,Very Low,Very Low,No,Yes,No,No,No,Low,Low,Low,n/a,n/a,n/a,Baltimore City,1.63022006,1.79481995,0.16460399,3085.83618164,39.21382615,-76.5808736
2405,364048.774493,4341697.23155,Yes,Low,Low,Moderate,Low,Very Low,Very Low,No,No,No,No,No,Low,Low,None,n/a,n/a,n/a,Baltimore City,1.98164999,1.98164999,0,3150.31420898,39.21379487,-76.5728778
2406,366298.774493,4341697.23155,Yes,Low,Low,Moderate,Low,Very Low,Very Low,No,Yes,No,No,No,Low,Low,Low,n/a,n/a,n/a,Baltimore City,1.79990995,1.98164999,0.181738,3880.77929688,39.21437037,-76.54919122
2407,366798.774493,4341697.23155,Yes,Very Low,Low,Moderate,Moderate,Low,Very Low,No,No,No,No,No,Moderate,Moderate,None,n/a,n/a,n/a,Baltimore City,2.0998199,2.0998199,0,3779.65991211,39.21229193,-76.54233403
2408,370048.774493,4341697.23155,Yes,Low,Moderate,Low,Moderate,Very Low,Very Low,No,No,No,No,No,Moderate,Moderate,None,n/a,n/a,n/a,Baltimore,2.0998199,2.0998199,0,2228.07861328,39.21384827,-76.50149716
2409,373798.774493,4341697.23155,Yes,Low,Moderate,Low,Moderate,Low,Low,Yes,No,No,No,No,Moderate,Moderate,Moderate,Very High,Low,Tier 2,Baltimore,2.21210003,2.55971003,0.347606,659.58477783,39.2153904,-76.46183214
2410,375048.774493,4341697.23155,Yes,Very Low,Moderate,Low,Moderate,High,Low,No,No,No,No,No,Moderate,Moderate,None,Very High,Low,n/a,Baltimore,2.55971003,2.55971003,0,0,39.2150995,-76.44433772
2411,377298.774493,4341697.23155,No,Very High,Moderate,Low,Moderate,Very Low,Very Low,Yes,Yes,No,No,No,Low,Moderate,Moderate,Very High,Low,Tier 2,Baltimore,2.00471997,2.39348006,0.38876,1215.10131836,39.21554893,-76.4199512
2412,392298.774493,4341697.23155,No,Very Low,Low,Low,High,Very Low,Low,No,No,No,No,No,Moderate,Moderate,None,Very High,Very High,n/a,Kent,2.06478,2.06478,0,113.85437775,39.21650372,-76.24497079
2413,409298.774493,4341697.23155,Yes,Very High,Low,Low,Very Low,Very Low,Low,Yes,Yes,No,No,No,Low,Moderate,Moderate,Very High,Very High,n/a,Kent,1.78542995,2.13165998,0.34623399,593.69128418,39.21910113,-76.05061506
2414,409798.774493,4341697.23155,Yes,High,Low,Low,Low,Very Low,Very Low,Yes,Yes,No,No,No,Low,Moderate,Moderate,Very High,Very High,n/a,Kent,1.72941005,2.06478,0.33537099,368.22738647,39.21935834,-76.0443748
2415,410298.774493,4341697.23155,Yes,Very Low,Low,Low,Low,Very Low,Very Low,Yes,Yes,No,No,No,Low,Low,Low,Very High,Very High,n/a,Kent,1.41869998,1.69380999,0.27511701,26.63946724,39.22158868,-76.04143796
2416,410548.774493,4341697.23155,Yes,Very Low,Low,Low,Very Low,Very Low,Low,Yes,No,No,No,No,Low,Low,Low,Very High,Low,n/a,Queen Anne's,1.46379995,1.69380999,0.230019,4.54662323,39.21786135,-76.03622602
2417,363298.774493,4341447.23155,Yes,Low,Very Low,Moderate,Low,Very Low,Very Low,No,No,No,No,No,Low,Low,None,n/a,n/a,n/a,Baltimore City,1.79481995,1.79481995,0,2778.33886719,39.2110358,-76.58215182
2418,364048.774493,4341447.23155,Yes,Very Low,Low,Moderate,Low,Very Low,Low,No,No,No,No,No,Low,Low,None,n/a,n/a,n/a,Baltimore City,1.98164999,1.98164999,0,3051.84667969,39.21278243,-76.57228486
2419,366298.774493,4341447.23155,Yes,Low,Low,Moderate,Low,Very Low,Low,No,Yes,No,No,No,Low,Moderate,Low,n/a,n/a,n/a,Baltimore City,1.98725998,2.18791008,0.200655,3689.15771484,39.21265966,-76.54990303
2420,366548.774493,4341447.23155,Yes,Very Low,Low,Moderate,Low,Low,Very Low,No,Yes,No,No,No,Low,Low,Low,n/a,n/a,n/a,Baltimore City,1.79990995,1.98164999,0.181738,3810.15063477,39.21077278,-76.5445849
2421,367048.774493,4341447.23155,Yes,Low,Low,Moderate,Moderate,Low,Very Low,Yes,No,No,No,No,Low,Moderate,Moderate,n/a,n/a,n/a,Baltimore City,2.00355005,2.31838989,0.31483501,3757.00756836,39.21180359,-76.54097929
2422,367298.774493,4341447.23155,Yes,Low,Low,Moderate,Moderate,Moderate,Very Low,Yes,Yes,No,No,No,Moderate,Moderate,Moderate,n/a,n/a,n/a,Baltimore City,2.05762005,2.45664001,0.399019,3693.01611328,39.2106897,-76.53721037
2423,367548.774493,4341447.23155,Yes,Low,Low,Moderate,Moderate,Moderate,Very Low,Yes,Yes,No,No,No,Moderate,Moderate,Moderate,n/a,n/a,n/a,Baltimore City,2.05762005,2.45664001,0.399019,3556.08349609,39.21028757,-76.53370819
2424,370298.774493,4341447.23155,Yes,Low,Moderate,Low,Moderate,Very Low,Very Low,No,No,No,No,No,Moderate,Moderate,None,n/a,n/a,n/a,Baltimore,2.0998199,2.0998199,0,2339.63598633,39.21283609,-76.5015131
2425,371798.774493,4341447.23155,Yes,Very Low,Moderate,Low,Low,Very Low,Very Low,No,No,No,No,No,Low,Low,None,n/a,n/a,n/a,Baltimore,1.79481995,1.79481995,0,2421.80615234,39.21199815,-76.48426235
2426,372048.774493,4341447.23155,Yes,Very Low,Moderate,Low,Very Low,Very Low,Very Low,No,No,No,No,No,Low,Low,None,n/a,n/a,n/a,Baltimore,1.62560999,1.62560999,0,2244.02368164,39.21220048,-76.48195644
2427,372298.774493,4341447.23155,Yes,Very Low,Moderate,Low,Very Low,Very Low,Very Low,No,No,No,No,No,Low,Low,None,n/a,n/a,n/a,Baltimore,1.62560999,1.62560999,0,2039.17016602,39.21238335,-76.47917177
2428,373798.774493,4341447.23155,Yes,Very Low,Moderate,Low,Moderate,Very Low,Very Low,No,No,No,No,No,Low,Low,None,Very High,Low,n/a,Baltimore,1.90186,1.90186,0,872.46881104,39.2131404,-76.46189098
2429,375048.774493,4341447.23155,Yes,Low,Moderate,Low,Moderate,High,Low,No,No,No,No,No,Moderate,Moderate,None,Very High,Low,n/a,Baltimore,2.82614994,2.82614994,0,2.76003051,39.21352403,-76.44416915
2430,375798.774493,4341447.23155,Yes,High,Moderate,Low,Low,Very Low,Moderate,Yes,Yes,No,No,Yes,Moderate,Moderate,Moderate,Very High,Very High,Tier 2,Baltimore,2.14196992,2.55971003,0.41773701,22.82944298,39.21252458,-76.43830287
2431,376048.774493,4341447.23155,Yes,High,Moderate,Low,Low,Moderate,Low,Yes,Yes,No,No,Yes,Moderate,Moderate,High,Very High,Very High,Tier 1,Baltimore,2.36492991,2.82614994,0.46121901,369.65036011,39.21270362,-76.43428601
2432,377298.774493,4341447.23155,No,Very High,Moderate,Low,Moderate,Very Low,Low,Yes,Yes,No,No,No,Moderate,Moderate,Moderate,Very High,Low,Tier 2,Baltimore,2.21339011,2.64262009,0.42922601,1295.37817383,39.21352365,-76.4208
2433,392298.774493,4341447.23155,No,Low,Low,Low,High,Very Low,Low,Yes,No,No,No,No,Low,Moderate,Moderate,Very High,Very High,Tier 2,Kent,1.97011995,2.27970004,0.309582,126.64179993,39.21531787,-76.24548679
2434,409298.774493,4341447.23155,Yes,High,Low,Low,Low,Very Low,Low,No,Yes,No,No,No,Moderate,Moderate,Low,Very High,Very High,n/a,Kent,2.07063007,2.27970004,0.20907301,491.50790405,39.21658919,-76.05016765
2435,409548.774493,4341447.23155,Yes,Very High,Low,Low,Low,Very Low,Very Low,Yes,Yes,No,No,No,Low,Moderate,Moderate,Very High,High,n/a,Kent,1.78542995,2.13165998,0.34623399,497.47988892,39.21819723,-76.04790795
2436,409798.774493,4341447.23155,Yes,High,Low,Low,Low,Very Low,Very Low,Yes,Yes,No,No,No,Low,Moderate,Moderate,Very High,High,n/a,Kent,1.72941005,2.06478,0.33537099,459.02566528,39.21866718,-76.04570354
2437,410048.774493,4341447.23155,Yes,Moderate,Low,Low,Low,Very Low,Low,Yes,Yes,No,No,No,Low,Moderate,Moderate,Very High,High,n/a,Queen Anne's,1.83254004,2.18791008,0.355371,0,39.21613822,-76.04088404
2438,410798.774493,4341447.23155,Yes,Very Low,Low,Low,Very Low,Very Low,Low,Yes,Yes,No,No,No,Low,Low,Low,Very High,Moderate,n/a,Queen Anne's,1.41869998,1.69380999,0.27511701,37.6604538,39.2180826,-76.03296827
2439,363298.774493,4341197.23155,Yes,Low,Very Low,Moderate,Low,Very Low,Very Low,No,No,No,No,No,Low,Low,None,n/a,n/a,n/a,Baltimore City,1.79481995,1.79481995,0,2587.49536133,39.2092759,-76.58314839
2440,363798.774493,4341197.23155,Yes,Very Low,Very Low,Moderate,Low,Very Low,Very Low,No,No,No,No,No,Low,Low,None,n/a,n/a,n/a,Baltimore City,1.62560999,1.62560999,0,2460.2644043,39.20808126,-76.57757488
2441,367798.774493,4341197.23155,Yes,Low,Low,Moderate,Moderate,Moderate,Very Low,Yes,Yes,No,No,No,Moderate,Moderate,Moderate,n/a,n/a,n/a,Baltimore City,2.05762005,2.45664001,0.399019,3515.48461914,39.20983521,-76.53232755
2442,370048.774493,4341197.23155,Yes,Low,Moderate,Low,Moderate,Very Low,Very Low,No,Yes,No,No,No,Low,Moderate,Low,n/a,n/a,n/a,Baltimore,1.90724003,2.0998199,0.19257499,2594.20996094,39.21056382,-76.50110043
2443,371798.774493,4341197.23155,Yes,Very Low,Moderate,Low,Low,Very Low,Very Low,No,No,No,No,No,Low,Low,None,n/a,n/a,n/a,Baltimore,1.79481995,1.79481995,0,2565.78125,39.21069711,-76.48515115
2444,373798.774493,4341197.23155,Yes,Very Low,Moderate,Low,Moderate,Very Low,Very Low,No,No,No,No,No,Low,Low,None,Very High,Low,n/a,Baltimore,1.90186,1.90186,0,1100.4017334,39.21088923,-76.46192852
2445,375048.774493,4341197.23155,Yes,Very Low,Moderate,Low,Low,High,Low,No,No,No,No,Yes,Moderate,Moderate,Low,Very High,Moderate,n/a,Baltimore,2.37385988,2.41564989,0.0417933,105.83492279,39.21105973,-76.44434535
2446,375798.774493,4341197.23155,Yes,Low,Moderate,Low,Low,Moderate,Very Low,Yes,Yes,No,No,Yes,Low,Moderate,Moderate,Very High,Very High,Tier 2,Baltimore,1.94002998,2.31838989,0.37835401,22.66253281,39.21116646,-76.4386144
2447,376048.774493,4341197.23155,Yes,High,Moderate,Low,Low,Moderate,Low,Yes,Yes,No,No,Yes,Moderate,Moderate,High,Very High,Very High,Tier 1,Baltimore,2.36492991,2.82614994,0.46121901,244.82073975,39.2115709,-76.43583094
2448,377298.774493,4341197.23155,No,Very High,Moderate,Low,Moderate,Low,Low,Yes,Yes,No,No,No,Moderate,Moderate,High,Very High,Very High,Tier 1,Baltimore,2.44377995,2.91769004,0.47390401,1380.02575684,39.21155122,-76.42174583
2449,392298.774493,4341197.23155,No,Low,Low,Low,High,Very Low,Low,Yes,Yes,No,No,No,Low,Moderate,Moderate,Very High,Very High,Tier 2,Kent,1.90943003,2.27970004,0.37028,188.18760681,39.21422594,-76.24575978
2450,392548.774493,4341197.23155,No,Very Low,Low,Low,High,Very Low,Very Low,Yes,Yes,No,No,No,Low,Low,Low,Very High,Very High,n/a,Kent,1.56637001,1.87012005,0.30375299,225.73623657,39.21328547,-76.2447149
2451,408798.774493,4341197.23155,Yes,Low,Low,Low,Low,Very Low,Low,No,Yes,No,No,No,Low,Moderate,Low,Very High,Very High,n/a,Kent,1.87541997,2.06478,0.189362,32.24091339,39.21465319,-76.05595564
2452,409048.774493,4341197.23155,Yes,Low,Low,Low,Low,Very Low,Low,No,Yes,No,No,No,Low,Moderate,Low,Very High,Very High,n/a,Kent,1.87541997,2.06478,0.189362,174.73919678,39.21547863,-76.05365604
2453,409548.774493,4341197.23155,Yes,Moderate,Low,Low,Low,Very Low,Low,No,Yes,No,No,No,Low,Moderate,Low,Very High,High,n/a,Kent,1.98725998,2.18791008,0.200655,473.8614502,39.21674365,-76.04966902
2454,363298.774493,4340947.23155,Yes,Very Low,Very Low,Moderate,Low,Very Low,Low,No,No,No,No,No,Low,Low,None,n/a,n/a,n/a,Anne Arundel,1.79481995,1.79481995,0,2351.91430664,39.20716115,-76.58375813
2455,363548.774493,4340947.23155,Yes,Very Low,Very Low,Moderate,Low,Very Low,Very Low,No,No,No,No,No,Low,Low,None,n/a,n/a,n/a,Baltimore City,1.62560999,1.62560999,0,2346.8659668,39.2071344,-76.57882873
2456,367548.774493,4340947.23155,Yes,Low,Low,Moderate,Moderate,Moderate,Moderate,Yes,Yes,No,No,No,Moderate,Moderate,High,n/a,n/a,n/a,Baltimore City,2.40727997,2.87409997,0.466824,3550.2019043,39.20688645,-76.53348722
2457,370298.774493,4340947.23155,Yes,Low,Moderate,Low,Moderate,Very Low,Very Low,No,Yes,No,No,No,Low,Moderate,Low,n/a,n/a,n/a,Baltimore,1.90724003,2.0998199,0.19257499,2842.75561523,39.20834134,-76.50074698
2458,370548.774493,4340947.23155,Yes,Low,Moderate,Low,Moderate,Very Low,Very Low,No,Yes,No,No,No,Low,Moderate,Low,n/a,n/a,n/a,Baltimore,1.90724003,2.0998199,0.19257499,2951.28930664,39.20748071,-76.49947898
2459,371798.774493,4340947.23155,Yes,Low,Moderate,Low,Low,Very Low,Low,No,No,No,No,No,Moderate,Moderate,None,n/a,n/a,n/a,Baltimore,2.18791008,2.18791008,0,2741.43334961,39.20830163,-76.48538894
2460,373798.774493,4340947.23155,Yes,Low,Moderate,Low,Moderate,Very Low,Very Low,Yes,No,No,No,No,Low,Moderate,Low,Very High,Low,Tier 2,Baltimore,1.81465995,2.0998199,0.28515401,1278.2244873,39.20863806,-76.46196606
2461,374798.774493,4340947.23155,Yes,Very Low,Moderate,Low,Very Low,Very Low,Very Low,Yes,No,No,No,Yes - dense,Low,Low,Low,Very High,Moderate,n/a,Baltimore,1.40020001,1.62560999,0.225417,0,39.20704075,-76.44657812
2462,375548.774493,4340947.23155,Yes,Low,Moderate,Low,Very Low,Very Low,Very Low,Yes,No,No,No,Yes - dense,Low,Low,Low,Very High,Very High,n/a,Baltimore,1.54594004,1.79481995,0.248881,22.9091835,39.2090391,-76.44169524
2463,376048.774493,4340947.23155,Yes,Low,Moderate,Low,Low,Moderate,Very Low,Yes,No,No,No,Yes - dense,Low,Moderate,Moderate,Very High,Very High,Tier 2,Baltimore,1.99690998,2.31838989,0.32148099,29.97538185,39.20868318,-76.43708979
